**** BEGIN LOGGING AT Sun Feb 25 00:00:00 2018

Feb 25 00:32:42 <sheykypwnz>	i have 44 in ow , but 78 drops XD
Feb 25 00:32:43 <aaronc2005>	won't let me share the link here..
Feb 25 00:32:46 <afireinside>	2nd day
Feb 25 00:32:46 <aaronc2005>	***
Feb 25 00:32:58 <leakymcbutttoots>	here's what I was referencing ***
Feb 25 00:32:58 <shoesthief993>	What happens when you hit 100% in progress?
Feb 25 00:32:59 <sheykypwnz>	Oh true!
Feb 25 00:33:03 <leakymcbutttoots>	darn it
Feb 25 00:33:10 <afireinside>	@shoesthief993 the singularity
Feb 25 00:33:14 <dizzyjump>	Banana for scale
Feb 25 00:33:15 <irfythedawg>	CmonBruh
Feb 25 00:33:23 <irfythedawg>	snakenHYPE snakenHYPE snakenHYPE snakenHYPE snakenHYPE snakenHYPE
Feb 25 00:33:23 <moobot>	No spamming allowed (IrfyTheDawg) (warning)
Feb 25 00:33:25 <strokera1424>	OWLWinston
Feb 25 00:33:26 <afireinside>	lol
Feb 25 00:33:31 <leakymcbutttoots>	here's what I was referencing (take out the space) https://youtu. be/2pJlpCfueV0
Feb 25 00:33:31 <moobot>	No links allowed (LeakyMcButtToots) (warning)
Feb 25 00:33:34 <afireinside>	OWLWinston
Feb 25 00:33:35 <thelunari>	r6salute r6salute r6salute r6salute
Feb 25 00:33:37 <aaronc2005>	my link is on the overwatch website
Feb 25 00:33:43 <thelunari>	PJSalt PJSalt PJSalt PJSalt
Feb 25 00:33:45 <sumin1>	how does it work with tokens
Feb 25 00:33:49 <sumin1>	do you gfet them right away?
Feb 25 00:33:56 <afireinside>	no
Feb 25 00:34:05 <thelunari>	;-;
Feb 25 00:34:05 <shawnbon1990>	sup
Feb 25 00:34:07 <afireinside>	they sprinkle down from heaven
Feb 25 00:34:12 <thelunari>	como ganha coisa?
Feb 25 00:34:15 <mrvaidd>	is there going to be a replay any time soon?
Feb 25 00:34:23 <afireinside>	no
Feb 25 00:34:23 <thelunari>	só queria saber isso ;-;
Feb 25 00:34:26 <afireinside>	yes
Feb 25 00:34:31 <morningstar03_>	OWLWidowmaker
Feb 25 00:34:34 <leakymcbutttoots>	r6salute r6salute OUR LORD HAS ARRIVED r6salute r6salute
Feb 25 00:34:34 <afireinside>	at 3am replays
Feb 25 00:34:34 <dizzyjump>	Yes soon
Feb 25 00:34:40 <hollow_814>	OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer OWLTracer
Feb 25 00:34:41 <moobot>	No spamming allowed (hollow_814)
Feb 25 00:34:51 <afireinside>	I have arrived
Feb 25 00:34:54 <dekl1ne>	i cant watch anymore ads =(
Feb 25 00:35:13 <afireinside>	OWLMercy
Feb 25 00:35:25 <romm9r>	memes my dudes
Feb 25 00:35:32 <killerbaenana>	calvinGOCHU calvinGOCHU
