**** BEGIN LOGGING AT Fri Mar 16 00:00:00 2018

Mar 16 00:00:25 <victorydevo>	J OMEGALUL K E
Mar 16 00:00:26 <leggy2018>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:26 <sregorr>	OWLDVa
Mar 16 00:00:26 <chris_shawk>	@biomebuster kys kid
Mar 16 00:00:26 <walkingwheel1>	J LUL K E
Mar 16 00:00:26 <hiiyorri>	OWLMoira
Mar 16 00:00:27 <insanified_ow>	#FreeMendo
Mar 16 00:00:27 <bearonvonbear>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:27 <clickleback>	WutFace
Mar 16 00:00:28 <malvinflip>	JAKE IS MAD BECAUSE HE IS BAD
Mar 16 00:00:28 <notimewhatsoever>	SHIELDS UP
Mar 16 00:00:28 <eggleggs>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:28 <chewin_teh_fat>	KappaPrid
Mar 16 00:00:28 <jmann2362>	Sour BabyRage Sweet FeelsGoodMan Gone FeelsBadMan
Mar 16 00:00:28 <warunut>	JAKE HAS A KNIFE WutFace
Mar 16 00:00:28 <stock23>	owlgla85
Mar 16 00:00:28 <otterpigeon>	owlgla100 SHIELDS UP!!
Mar 16 00:00:29 <sly_00>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:29 <faculties_intact>	FREE SPREE
Mar 16 00:00:29 <the_only_bane>	owlhou100
Mar 16 00:00:29 <smaug_42>	OWLSHD
Mar 16 00:00:30 <jarere_rabbit>	OWLWinston OWLHanzo OWLDVa
Mar 16 00:00:30 <biznalul>	M KappaPride M KappaPride
Mar 16 00:00:30 <tectonic99>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:30 <nicooli091>	Free Mendo
Mar 16 00:00:30 <eeliigaa_>	why is this stream being botted?
Mar 16 00:00:30 <twitchuser9120>	FUCK JAKE LUL
Mar 16 00:00:30 <966link>	LET ORISA FLYYY REDBULL GIVES U WINGS
Mar 16 00:00:30 <ckymatty2>	TriHard 7
Mar 16 00:00:30 <lixanes>	fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:31 <babynutnut>	CWOOSH > XQC > MUMA > FISSURE 4Head
Mar 16 00:00:31 <supersheeep>	woo
Mar 16 00:00:31 <vongola7x3>	drops?????
Mar 16 00:00:31 <chillineric>	PogChamp
Mar 16 00:00:32 <zenkihachi>	H LUL U S T LUL N
Mar 16 00:00:33 <mex_cuz_i_can>	J LUL K E on tracer
Mar 16 00:00:33 <d3_prodigy>	J LUL K E plays people who dont require aim LUL
Mar 16 00:00:34 <luciiow>	@StephenCorny TriHard 7
Mar 16 00:00:34 <ckymatty>	TriHard 7
Mar 16 00:00:35 <corrosiongaming>	CrreamAwk
Mar 16 00:00:35 <ulkhum>	whats the blue guys haircut i liked it
Mar 16 00:00:36 <mrcrazycat62>	OWLGLA OWLHOU OWLGLA OWLHOU OWLGLA OWLHOU OWLGLA OWLHOU
Mar 16 00:00:36 <randalfbobandalf>	KappaPride
Mar 16 00:00:36 <lochsa_>	mendoLaw LETT MENDO FUCK mendoLaw
Mar 16 00:00:37 <moobot>	No spamming allowed (MrCrazyCat62) (warning)
Mar 16 00:00:37 <theyeetmeister>	FortOne FortOne FortOne FortOne
Mar 16 00:00:38 <iamdragyn>	JAKE HAS A RIPTIRE
Mar 16 00:00:38 <ahhhh0>	OWLLucio
Mar 16 00:00:38 <julius_sketch>	LETS GO PogChamp
Mar 16 00:00:38 <sregorr>	dibzFlex1 OWLDVa dibzFlex2
Mar 16 00:00:38 <huntersdream19>	JAKE OW IS IN MY HOUSE
Mar 16 00:00:38 <svperbia_ow>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:38 <vendi>	EU COMMENTATOR LUL
Mar 16 00:00:39 <volene>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:39 <sakura_chain>	HOUSTON U HAVE A PROBLEM LUL
Mar 16 00:00:39 <calgone01>	Kappa 7
Mar 16 00:00:39 <eggleggs>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:39 <pressqbackhome>	ninja has 100k NotLikeThis
Mar 16 00:00:39 <jimmywho98>	@ckymatty2 TriHard 7
Mar 16 00:00:40 <henryan1>	JAKE HAS A RIPTIRE
Mar 16 00:00:40 <rangerairmide>	OWLDVa
Mar 16 00:00:40 <senpainoticeme15>	Give JunkRat legs? LUL
Mar 16 00:00:40 <jimbofirstblood>	OWLMei Where is my super suit?
Mar 16 00:00:40 <minikokkik>	owldal50
Mar 16 00:00:40 <ckymatty2>	J LUL KE
Mar 16 00:00:40 <theerotictoaster>	📞 :telephone_receiver:BetterTTV Emojis 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:40 <oprahiswithyou>	HeyGuys
Mar 16 00:00:40 <michaelwryan>	TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7
Mar 16 00:00:40 <foforeverr>	Wutface
Mar 16 00:00:41 <frankozzz>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞
Mar 16 00:00:41 <warunut>	CALL THE POLICE JAKE IS IN MY HOME
Mar 16 00:00:43 <deathcavalier>	JAKE HAS FAMILY
Mar 16 00:00:43 <someguy_zero>	exbcFeelsbad
Mar 16 00:00:43 <ozzeluroth304>	4head?
Mar 16 00:00:43 <jedironpaul>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:43 <n0wble>	OWLGLA
Mar 16 00:00:43 <xox1592009>	SMOrc
Mar 16 00:00:44 <texas_omega>	where the drops at?
Mar 16 00:00:44 <fiftycal27>	J LUL CK IS MAD BECAUSE HE IS BAD! J LUL CK IS MAD BECAUSE HE IS BAD!
Mar 16 00:00:44 <ckymatty>	J LUL KE
Mar 16 00:00:44 <lixanes>	ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper
Mar 16 00:00:45 <agonypimp>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:45 <dororo777>	7
Mar 16 00:00:45 <emilcotwitch>	LUL LUL LUL LUL
Mar 16 00:00:45 <lunatikspirit>	5 AM GIVE ME MY FUCKING 100 POINTS FUCKING OWL RATS
Mar 16 00:00:45 <mex_cuz_i_can>	funniest part J LUL K E ON TRACER
Mar 16 00:00:46 <frenchbromigo>	NO JAKE, PUT DOWN THIS PULSE BOMB
Mar 16 00:00:47 <zenithoid>	JAKEISGARBAGE
Mar 16 00:00:47 <lochsa_>	mendoLaw LET MENDO FUCK mendoLaw
Mar 16 00:00:48 <daflakybaboon>	bunch of n1gg.3rs in the chat
Mar 16 00:00:48 <brattyfetus>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:49 <cybaras>	lets gooo gladiators!!1
Mar 16 00:00:49 <dpa818>	stvoLUL stvoLUL stvoLUL
Mar 16 00:00:50 <senna_>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:50 <rewizzles>	OWLGLA OWLReinhardt OWLGLA
Mar 16 00:00:50 <ckymatty2>	TriHard 7
Mar 16 00:00:51 <swirl_ow>	HOUSTON YOU HAVE A PROBLEM
Mar 16 00:00:51 <notimewhatsoever>	HOUSTON YOU HAVE A PROBLEM
Mar 16 00:00:52 <sregorr>	dibzFlex1 dibzGasm dibzFlex2
Mar 16 00:00:52 <foforeverr>	wutface
Mar 16 00:00:52 <zilvernia>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:53 <silver19897>	JAKE HAS A KNIFE
Mar 16 00:00:53 <valentine_tv>	give junkrat two legs
Mar 16 00:00:53 <tag_me_when_c9_lul>	J LuL K E
Mar 16 00:00:54 <hgaqui>	HYDRATION GO MEI
Mar 16 00:00:54 <ckymatty>	TriHard 7
Mar 16 00:00:54 <shrimpmeifun>	Boiii
Mar 16 00:00:54 <luciiow>	@DaFlakyBaboon TriHard 7
Mar 16 00:00:55 <eggleggs>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:55 <theninja3lf>	OWLGLA OWLWidowmaker
Mar 16 00:00:55 <kahlanos>	LUL
Mar 16 00:00:55 <miguel_bvas>	LET'S GO
Mar 16 00:00:55 <ajewcy>	theres spree, kings row time
Mar 16 00:00:55 <zeefusion>	copyThis pastaThat
Mar 16 00:00:55 <zeke15009>	:)
Mar 16 00:00:55 <limetw>	H LUL U S T LUL N
Mar 16 00:00:55 <spazmaniandevil9>	Give junkratt two legs LuL
Mar 16 00:00:56 <lioqiods>	LET MCCREE RIDE ORISA
Mar 16 00:00:56 <theballpitfromdashcon>	stvoLUL stvoLUL stvoLUL
Mar 16 00:00:56 <coolman2800>	asdfsdfghsrtysf
Mar 16 00:00:56 <minikokkik>	OWLGenji
Mar 16 00:00:57 <escalul1>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:57 <fatexz>	OWLReinhardt OWLReinhardt OWLReinhardt
Mar 16 00:00:57 <diveindevin>	OWLGLA OWLGLA OWLGLA LETS GO OWLGLA OWLGLA OWLGLA
Mar 16 00:00:58 <phyz_ow>	LET MENDO FUCK
Mar 16 00:00:58 <cmoffatt01>	TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7
Mar 16 00:00:58 <matteian>	BREN OMEGALUL
Mar 16 00:00:59 <ravage037>	TriHard 7
Mar 16 00:00:59 <e3picn0b0dy>	FrankerZ
Mar 16 00:00:59 <smartygaming>	J LUL K E IS MAD BECAUSE J LUL K E IS BAD
Mar 16 00:00:59 <newportbeachmilotics>	S4 LUL So bad
Mar 16 00:01:00 <ckymatty2>	J LUL KE
Mar 16 00:01:00 <daxplatinum>	owlval200
Mar 16 00:01:00 <soinfamous7>	BCWarrior
Mar 16 00:01:00 <endertricity>	cmonBruh
